Customers,Number of Users,Invoice Date,Invoice #,Invoice Amount,Subscription,Account Code ,Dates of service ,Address,State,Lat,Long
Auburn University,80.0,7/30/2020,NB073020A,"$2,300.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 7/22/2020 to 7/31/2021,"5042 Haley Center, Auburn, AL 36849",AL,32.602286,-85.486081
Auburn University,55.0,4/22/2020,NB042220,$527.00 ,3 Months,4700-0-00-00000-00-0000,3 Months Subscription 4/17/2020 to 7/17/2020,"5042 Haley Center, Auburn, AL 36849",AL,32.602286,-85.486081
Augusta University,,5/11/2016,AJ517,$750.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 5/03/16 to 5/2/17,"1120 15th St, Augusta, GA 30912",GA,33.470787,-81.98959
Augusta University,100.0,4/18/2017,22,$750.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 5/2/17 to 5/2/18,"1120 15th St, Augusta, GA 30912",GA,33.470787,-81.98959
Augusta University,100.0,3/19/2018,103,$750.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 5/2/18 to 4/30/19,"1120 15th St, Augusta, GA 30912",GA,33.470787,-81.98959
Augusta University,25.0,4/4/2019,,$750.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 4/30/19 to 4/30/20,"1120 15th St, Augusta, GA 30912",GA,33.470787,-81.98959
Augusta University,50.0,3/5/2020,NB030520,$750.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 4/30/2020 to 4/30/2021,"1120 15th St, Augusta, GA 30912",GA,33.470787,-81.98959
Augusta University,,3/20/2020,NB032020C,"$1,125.00 ",3 Months,4700-0-00-00000-00-0000,3 Months Subscription 3/19/2020 to 6/30/2020,"1120 15th St, Augusta, GA 30912",GA,33.470787,-81.98959
Augusta University,300.0,7/15/2020,NB071520A,"$3,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 4/30/2020 to 4/30/2021,"1120 15th St, Augusta, GA 30912",GA,33.470787,-81.98959
Augustana College,85.0,3/25/2020,NB032520D,$587.00 ,3 Months,4700-0-00-00000-00-0000,3 Months Subscription 3/24/2020 to 6/30/2020,"1120 15th St, Augusta, GA 30912",GA,33.470787,-81.98959
Austin Peay State University,400.0,11/17/2017,87,"$6,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 12/31/17 to 12/31/18,"601 College St, Clarksville, TN 37044",TN,36.53188,-87.35472
Austin Peay State University,200.0,1/23/2019,169,"$3,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 12/31/18 to 12/31/19,"601 College St, Clarksville, TN 37044",TN,36.53188,-87.35472
Austin Peay State University,200.0,12/16/2019,248,"$2,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 12/31/19 to 12/31/20,"601 College St, Clarksville, TN 37044",TN,36.53188,-87.35472
Austin Peay State University,150.0,9/8/2020,NB090820U,"$1,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 12/31/2019 to 12/31/2020,"601 College St, Clarksville, TN 37044",TN,36.53188,-87.35472
Bainbridge Island School District,,6/24/2019,197,"$3,600.00 ",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 6/24/19 to 6/30/22,"8489 Madison Ave NE Bainbridge Island, WA",WA,47.638782,-122.521704
Ball State University,1150.0,9/24/2020,NB092420,"$3,250.00 ",3 Months,4700-0-00-00000-00-0000,3 Months Subscription 9/24/2020 to 12/24/2020,"2000 W University Ave, Muncie, IN 47306",IN,40.208682,-85.408472
Bard College,25.0,8/25/2020,NB082520H,$437.00 ,3 Months,4700-0-00-00000-00-0000,3 Months Subscription 9/15/2020 to 12/15/2020,"30 Campus Rd, Annandale-On-Hudson, NY 12504",NY,42.024516,-73.903544
Barton College,80.0,9/8/2020,NB090820E,"$2,300.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 9/1/2020 to 8/31/2021,"400 Atlantic Christian e West NE, Wilson, NC 27893",NC,35.736373,-77.913347
Belhaven University,115.0,7/8/2020,NB070820,"$2,650.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/1/2020 to 7/31/2021,"1500 Peachtree Street, Jackson, MS  39202",MS,32.318452,-90.169203
Bellarmine University,100.0,8/25/2020,NB082520E,$400.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 5/4/2020 to 4/30/2021,"2001 Newburg RD, Louisville, KY 40205",KY,38.218713,-85.705324
Bellarmine University,100.0,5/1/2020,NB050120B,"$2,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 5/4/2020 to 4/30/2021,"2001 Newburg RD, Louisville, KY 40205",KY,38.218713,-85.705324
Bellarmine University,,10/1/2020,NB100120D,$200.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 5/4/2020 to 4/30/2021,"2001 Newburg RD, Louisville, KY 40205",KY,38.218713,-85.705324
Berea College,110.0,8/3/2020,NB080320A,"$2,600.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/1/2020 to 7/31/2021,"Knapp Hall 104B, CPO 2195, Berea, KY  40404",KY,37.646278,-84.271598
Berry College,15.0,8/25/2020,NB082520J,"$1,650.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/21/2020 to 8/31/2021,"2377 Martha Berry Highway NW, Mount Berry, GA  30149",GA,34.291869,-85.179874
Billings Senior High School,85.0,10/11/2016,AJ552,$750.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/11/16 to 10/31/17,"425 Grand Ave, Billings, MT 59101",MT,45.78457,-108.52682800000001
Billings Senior High School,85.0,8/28/2017,60,$750.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/31/17 to 10/31/18,"425 Grand Ave, Billings, MT 59101",MT,45.78457,-108.52682800000001
Birmingham-Southern College,,5/29/2018,130,"$1,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 06/1/18 to 06/30/19,"900 Arkadelphia Road, Birmingham, AL  35254",AL,33.516737,-86.85171
Birmingham-Southern College,,7/1/2019,201,"$1,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 6/30/19 to 6/30/20,"900 Arkadelphia Road, Birmingham, AL  35254",AL,33.516737,-86.85171
Birmingham-Southern College,50.0,4/30/2020,NB043020,"$1,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 6/30/2020 to 6/30/2021,"900 Arkadelphia Road, Birmingham, AL  35254",AL,33.516737,-86.85171
"Bloomboard, Inc.",52.0,10/11/2019,229,"$15,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 9/29/19 to 9/29/22,"135 University Avenue, Suite 200
Palto Alto, CA 94301",CA,37.44416,-122.163743
"Bloomboard, Inc.",,10/17/2019,230,,3 Years,4700-0-00-00000-00-0000,3 Years Subscription 9/29/19 to 9/29/22,"135 University Avenue, Suite 200
Palto Alto, CA 94301",CA,37.44416,-122.163743
"Bloomboard, Inc.",52.0,10/7/2020,NB100720,"$15,520.00 ",6 Months,4700-0-00-00000-00-0000,6 Months Subscription 8/31/2020 to 02/28/2021,"135 University Avenue, Suite 200
Palto Alto, CA 94301",CA,37.44416,-122.163743
Bowling Green Independent Schools,15.0,11/13/2019,237,"$1,650.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 11/12/19 to 11/30/20,"1211 Center Street, Bowling Green, KY  42101",KY,36.992329,-86.447825
Bowling Green Independent Schools,5.0,11/16/2020,NB111620A,"$1,550.00",1 Year,4700-0-00-00000-00-0000,1 yr Subscription 11/30/2020 to 11/30/2021,"1211 Center Street, Bowling Green, KY  42101",KY,,
Bowling Green State University,358.0,9/17/2020,NB091720A,"$1,270.00 ",3 Months,4700-0-00-00000-00-0000,3 Months Subscription 10/1/2020 to 12/30/2020,"101 Education Bldg., BGSU, Bowling Green, OH  43403",OH,41.379729,-83.622879
Bradley University,75.0,8/25/2020,NB082520P,$565.00 ,3 Months,4700-0-00-00000-00-0000,3 Months Subscription 8/25/2020 to 12/7/2020,"1501 W Bradley Ave, Peoria, IL 61625",IL,40.696765,-89.615822
Brandeis University,50.0,9/8/2020,NB090820G,"$2,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 9/4/2020 to 8/31/2021,"415 South St, Waltham, MA 02453",MA,42.366533000000004,-71.258093
Brenau University,,7/1/2019,202,"$2,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/1/19 to 7/31/20,"500 Washington St SE, Gainesville, GA 30501",GA,34.30189,-83.822057
Brenau University,350.0,8/7/2020,NB080720A,"$2,600.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 7/31/2020 to 7/31/2021,"500 Washington St SE, Gainesville, GA 30501",GA,34.30189,-83.822057
Bridgewater College,110.0,8/12/2020,NB081220C,"$2,600.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/4/2020 to 7/31/2021,"402 E. College St., Bridgewater, VA  22812",VA,38.378931,-78.970686
Brigham Young University – Hawaii,150.0,6/16/2020,NB061620,"$3,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 6/16/2020 to 06/30/2021,"220 Kulanui St, Laie, HI 96762",HI,21.650377,-157.924912
Brock University,350.0,7/23/2020,NB072320A,"$1,222.00 ",3 Months,4700-0-00-00000-00-0000,3 Months Subscription 9/1/2020 to 12/8/2020,"1812 Sir Isaac Brock Way, St. Catharines, Ontario, Canada L2S3A1",Canada,43.118798999999996,-79.238508
Brock University,116.0,9/8/2020,NB090820AA,$290.00 ,3 Months,4700-0-00-00000-00-0000,3 Months Subscription 9/1/2020 to 12/8/2020,"1812 Sir Isaac Brock Way, St. Catharines, Ontario, Canada L2S3A1",Canada,43.118798999999996,-79.238508
Brown University,20.0,10/22/2020,NB102020,$425.00 ,3 Months,4700-0-00-00000-00-0000,3 Months Subscription 11/1/2020 to 1/31/2021,"10 Prospect St., Box A, Providence, RI  02912",RI,41.82574,-71.405199
Brown University,10.0,11/20/2020,NB112020,$100.00,3 Months,4700-0-00-00000-00-0000,3 Mo Subscription 11/01/2020 to 1/31/2021,"10 Prospect St., Box A, Providence, RI  02912",RI,,
Bureau Of Indian Affairs,,10/27/2015,AJ506,"$28,000.00 ",1 Year,4700-4-11-00100-00-1502,1 Year Subscription 09/18/15-12/31/16,"1849 C Street, N.W Washington, D.C. 20240",DC,38.894453000000006,-77.042603
Bureau Of Indian Affairs,,12/10/2015,AJ507,"$16,200.00 ",1 Year,4700-4-11-00100-00-1502,1 Year Subscription 09/18/15-12/31/16,"1849 C Street, N.W Washington, D.C. 20240",DC,38.894453000000006,-77.042603
Bureau Of Indian Affairs,,10/9/2020,NB100920A,"$21,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/1/2020 to 9/30/2021,"1849 C Street, N.W Washington, D.C. 20240",DC,38.894453000000006,-77.042603
Ca State University Chico,250.0,7/23/2020,NB072320D,"$4,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 7/24/2020 to 7/31/2021,"400 W 1st St, Chico, CA 95929",CA,39.729732,-121.844783
Ca State University Chico,50.0,9/1/2020,NB090120A,$500.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 7/24/2020 to 7/31/2021,"400 W 1st St, Chico, CA 95929",CA,39.729732,-121.844783
Ca State University Dominguez Hills,750.0,9/24/2020,NB092420B,"$2,125.00 ",3 Months,4700-0-00-00000-00-0000,3 Months Subscription 9/21/2020 to 12/21/2020,"1000 E Victoria St, Carson, CA 90747",CA,33.863908,-118.255633
"Ca State University, Stanislaus",95.0,8/25/2020,NB082520,$950.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 7/15/2020 to 7/31/2021,"1 University Cir, Turlock, CA 95382",CA,37.52499,-120.85845900000001
"Ca State University, Stanislaus",70.0,9/13/2020,NB091320C,$700.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 7/15/2020 to 7/31/2021,"1 University Cir, Turlock, CA 95382",CA,37.52499,-120.85845900000001
"Ca State University, Stanislaus",100.0,7/16/2020,NB071620B,"$2,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 7/15/2020 to 7/31/2021,"1 University Cir, Turlock, CA 95382",CA,37.52499,-120.85845900000001
"Ca State University, Stanislaus",325.0,9/8/2020,NB090820Y,"$3,250.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 7/15/2020 to 7/31/2021,"1 University Cir, Turlock, CA 95382",CA,37.52499,-120.85845900000001
"Ca State University, Stanislaus",36.0,9/21/2020,NB092120,$360.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 7/15/2020 to 7/31/2021,"1 University Cir, Turlock, CA 95382",CA,37.52499,-120.85845900000001
"Ca State University, Stanislaus",19.0,10/1/2020,NB100120B,$190.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 7/15/2020 to 7/31/2021,"1 University Cir, Turlock, CA 95382",CA,37.52499,-120.85845900000001
California State Polytechnic University Pomona-Education/Ceis,50.0,6/22/2020,NB062220,"$1,029.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 6/22/2020 to 6/30/2021,"3801 W. Temple Ave., Bldg. 6 Room 220, Pomona, CA 91768",CA,34.057959999999994,-117.82268799999999
California State University,250.0,9/29/2016,AJ549,"$8,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 11/29/16 to 11/30/17,"444 North Capitol St NW # 207, Washington, DC 20001",DC,38.89583,-77.009828
California State University Long Beach,100.0,8/10/2020,NB081020B,"$2,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/7/2020 to 7/31/2021,"1250 Bellflower Blvd, Long Beach, CA 90840",CA,33.782523,-118.12220500000001
California State University Northridge,40.0,9/8/2020,NB090820B,"$1,976.30 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/21/2020 to 8/31/2021,"18111 Nordhoff St, Northridge, CA 91330",CA,34.236075,-118.528326
"California State University, Fullerton",300.0,8/24/2020,NB082420A,"$4,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/20/2020 to 8/31/2021,"800 N State College Blvd, Fullerton, CA 92831",CA,33.879661999999996,-117.88549599999999
California University Of Pennsylvania,500.0,5/11/2016,AJ518,"$6,600.00 ",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 8/1/16 to 7/31/2019,"250 University Ave, California, PA 15419",PA,40.065615,-79.885932
California University Of Pennsylvania,500.0,5/11/2016,AJ518(2),"$2,850.00 ",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 8/1/16 to 7/31/2019,"250 University Ave, California, PA 15419",PA,40.065615,-79.885932
California University Of Pennsylvania,700.0,8/12/2020,NB081220,"$8,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/17/2020 to 8/31/2021,"250 University Ave, California, PA 15419",PA,40.065615,-79.885932
Calvert County Public Schools,34.0,9/11/2020,NB091120J,"$1,840.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/28/2020 to 8/31/2021,"1305 Dares Beach Rd, Prince Frederick, MD 20678",MD,38.551889,-76.57221
Campbell University,20.0,8/23/2017,58,"$2,700.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/23/17 to 8/31/18,"143 Main St, Buies Creek, NC 27506",NC,35.409133000000004,-78.73821099999999
Campbell University,,8/23/2018,146,"$1,700.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/31/18 to 8/31/19,"143 Main St, Buies Creek, NC 27506",NC,35.409133000000004,-78.73821099999999
Capital University,14.0,10/15/2020,NB101520A,"$1,640.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/14/2020 to 10/31/2021,"E Main St & College Ave, Bexley, OH 43209",OH,39.957227,-82.940015
Catawba College,50.0,3/17/2020,NB031720A,"$1,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 3/17/2020 to 3/31/2021,"2300 W Innes St, Salisbury, NC 28144",NC,35.691116,-80.481124
Central Connecticut State University,250.0,5/23/2017,33,"$10,500.00 ",3 Years,4700-0-00-00000-00-0000,3 Years Subscription,"1615 Stanley St, New Britain, CT 06050",CT,41.68339,-72.767385
Central Connecticut State University,150.0,6/4/2020,NB060420A,"$7,500.00 ",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 5/31/2020 to 05/32/2023,"1615 Stanley St, New Britain, CT 06050",CT,41.68339,-72.767385
Central Washington University,50.0,9/9/2019,216,"$1,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/1/19 to 12/31/20,"400 E University Way, Ellensburg, WA 98926",WA,47.000333000000005,-120.541972
Central Washington University,100.0,4/15/2020,NB041520C,$547.43 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/1/2019 to 12/31/2020,"400 E University Way, Ellensburg, WA 98926",WA,47.000333000000005,-120.541972
Cerra,,10/16/2018,156,"$1,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/16/18 to 10/31/19,"525 Eden Terrace, Rock Hill, SC 29730",SC,34.941683000000005,-81.029894
Cerra,,10/16/2018,157,"$3,500.00 ",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 10/16/18 to 10/31/21,"525 Eden Terrace, Rock Hill, SC 29730",SC,34.941683000000005,-81.029894
Cerra,,10/22/2019,232,"$1,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/31/19 to 10/31/20,"525 Eden Terrace, Rock Hill, SC 29730",SC,34.941683000000005,-81.029894
Chapman University,100.0,4/9/2020,NB040920D,$625.00 ,3 Months,4700-0-00-00000-00-0000,3 Months Subscription 4/6/2020 to 7/7/2020,"1 University Dr, Orange, CA 92866",CA,33.793603999999995,-117.85158100000001
Charleston Southern University,260.0,9/1/2020,NB090120Q,"$10,800.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/20/2020 to 8/31/2021,"9200 University Blvd, North Charleston, SC 29406",SC,32.981204,-80.071966
Charleston Southern University,,3/15/2019,179,"$1,250.00 ",6 Months,4700-0-00-00000-00-0000,6 Months Subscription 7/1/19 to 12/31/19,"9200 University Blvd, North Charleston, SC 29406",SC,32.981204,-80.071966
Chicago State University,200.0,7/29/2020,NB072920A,"$2,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/17/2020 to 8/31/2021,"9501 S. King Dr., Chicago, IL  60628                   ",IL,41.71658,-87.60847199999999
Christina School District,250.0,8/23/2016,AJ542,"$3,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 11/1/16 to 10/31/17,"50 Gender Road, Newark, DE 19713",DE,39.658390000000004,-75.717762
City University Of New York,100.0,4/15/2020,NB041520,$625.00 ,3 Months,4700-0-00-00000-00-0000,3 Months Subscription 4/10/2020 to 7/10/2020,"425 E 25th St, New York, NY 10010",NY,40.737603,-73.975408
City University Of New York,100.0,4/15/2020,NB041520I,$225.00 ,3 Months,4700-0-00-00000-00-0000,3 Months Subscription 4/10/2020 to 7/10/2020,"425 E 25th St, New York, NY 10010",NY,40.737603,-73.975408
City University Of New York,190.0,7/8/2020,NB070820A,"$1,700.00 ",6 Months,4700-0-00-00000-00-0000,6 Months Subscription 7/1/2020 to 12/31/2020,"425 E 25th St, New York, NY 10010",NY,40.737603,-73.975408
City University Of New York,110.0,10/7/2020,NB100820D,$495.00 ,6 Months,4700-0-00-00000-00-0000,6 Months Subscription 7/1/2020 to 12/30/2020,"425 E 25th St, New York, NY 10010",NY,40.737603,-73.975408
Clarion University Of Pennsylvania,300.0,9/8/2020,NB090820Z,"$4,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 9/2/2020 to 8/31/2021,"840 Wood St, Clarion, PA 16214",PA,41.210449,-79.37899999999999
Clark County Education Association,,10/19/2015,AJ505,"$3,400.00 ",1 Year,4700-0-00-00000-28-0000,1 Year Subscription 10/01/15 to 10/1/16,"4230 McLeod Dr, Las Vegas, NV 89121",NV,36.112561,-115.109222
Clark County Education Association,,7/26/2018,140,"$7,350.00 ",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 7/26/18 to 7/31/21,"4230 McLeod Dr, Las Vegas, NV 89121",NV,36.112561,-115.109222
Clayton State University,100.0,7/30/2020,NB073020C,"$2,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/1/2020 to 7/31/2021,"2000 Clayton State Blvd, Morrow, GA 30260",GA,33.594374,-84.328396
Clemson University,60.0,6/25/2020,NB062520,$540.33 ,3 Months,4700-0-00-00000-00-0000,3 Months Subscription 9/1/2020 to 12/1/2020,"105 Sikes Hall, Clemson, SC 29634",SC,34.681999,-82.782158
Cleveland County Schools,20.0,2/27/2019,177,"$1,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 2/27/19 to 2/29/20,"115 Bethware Drive Kings Mountain, NC 28086",NC,35.248064,-81.414194
Coastal Carolina University,150.0,8/20/2020,NB082020D,"$3,300.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/17/2020 to 8/31/2021,"100 Chanticleer Dr E, Conway, SC 29528",SC,33.795302,-79.007856
Colgate University,50.0,3/25/2020,NB032520,"$1,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 3/19/2020 to 3/31/2021,"13 Oak Dr, Hamilton, NY 13346",NY,42.818179,-75.53522099999999
College For Creative Studies,40.0,9/8/2020,NB090820D,"$1,976.30 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 9/1/2020 to 8/31/2021,"201 E Kirby St, Detroit, MI 48202",MI,42.36125,-83.064187
College Of Coastal Georgia,75.0,3/23/2020,NB032320,$563.00 ,3 Months,4700-0-00-00000-00-0000,3 Months Subscription 3/23/2020 to 6/30/2020,"1 College Dr, Brunswick, GA 31520",GA,31.180760999999997,-81.487082
College Of Coastal Georgia,120.0,4/27/2020,NB042720A,"$2,700.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 6/1/2020 to 5/31/2021,"1 College Dr, Brunswick, GA 31520",GA,31.180760999999997,-81.487082
College Of Mount Saint Vincent,100.0,4/23/2020,NB042320C,$625.00 ,3 Months,4700-0-00-00000-00-0000,3 Months Subscription 4/22/2020 to 7/22/2020,"6301 Riverdale Ave, The Bronx, NY 10471",NY,40.912795,-73.902821
College Of William And Mary,250.0,12/17/2015,AJ508,"$3,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/22/15 to 10/31/16,"200 Stadium Dr, Williamsburg, VA 23185",VA,37.27174,-76.71426
College Of William And Mary,250.0,10/17/2016,AJ553,"$3,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/31/16 to 10/31/17,"200 Stadium Dr, Williamsburg, VA 23185",VA,37.27174,-76.71426
College Of William And Mary,20.0,9/29/2017,71,"$1,700.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/31/17 to 10/31/18,"200 Stadium Dr, Williamsburg, VA 23185",VA,37.27174,-76.71426
College Of William And Mary,,9/11/2018,149,"$1,700.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/31/18 to 10/31/19,"200 Stadium Dr, Williamsburg, VA 23185",VA,37.27174,-76.71426
