Customers,Number of Users,Invoice Date,Invoice #,Invoice Amount,Subscription,Account Code ,Dates of service ,Address,State,Lat,Long
University 87,25.0,10/24/17,82,$750.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/31/17 to 8/31/18,"2110 Washington Blvd, Arlington, VA 22204",VA,38.873463,-77.083371
University 25,250.0,6/10/16,AJ530,"$2,450.00 ",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 6/6/16 to 5/31/17,"11935 Abercorn St, Savannah, GA 31419",GA,31.978808,-81.16297800000001
University 25,250.0,6/10/16,AJ530 (2),"$2,450.00 ",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 6/6/17 to 5/31/18,"11935 Abercorn St, Savannah, GA 31419",GA,31.978808,-81.16297800000001
University 25,250.0,6/10/16,AJ530 (3),"$2,450.00 ",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 6/6/18 to 5/31/19,"11935 Abercorn St, Savannah, GA 31419",GA,31.978808,-81.16297800000001
University 208,80.0,7/30/20,NB073020A,"$2,300.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 7/22/2020 to 7/31/2021,"5042 Haley Center, Auburn, AL 36849",AL,32.602286,-85.486081
University 208,55.0,4/22/20,NB042220,$527.00 ,3 Months,4700-0-00-00000-00-0000,3 Months Subscription 4/17/2020 to 7/17/2020,"5042 Haley Center, Auburn, AL 36849",AL,32.602286,-85.486081
University 15,100.0,5/11/16,AJ517,$750.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 5/03/16 to 5/2/17,"1120 15th St, Augusta, GA 30912",GA,33.470787,-81.98959
University 15,100.0,4/18/17,22,$750.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 5/2/17 to 5/2/18,"1120 15th St, Augusta, GA 30912",GA,33.470787,-81.98959
University 15,100.0,3/19/18,103,$750.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 5/2/18 to 4/30/19,"1120 15th St, Augusta, GA 30912",GA,33.470787,-81.98959
University 15,25.0,4/4/19,,$750.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 4/30/19 to 4/30/20,"1120 15th St, Augusta, GA 30912",GA,33.470787,-81.98959
University 15,50.0,3/5/20,NB030520,$750.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 4/30/2020 to 4/30/2021,"1120 15th St, Augusta, GA 30912",GA,33.470787,-81.98959
University 15,,3/20/20,NB032020C,"$1,125.00 ",3 Months,4700-0-00-00000-00-0000,3 Months Subscription 3/19/2020 to 6/30/2020,"1120 15th St, Augusta, GA 30912",GA,33.470787,-81.98959
University 15,300.0,7/15/20,NB071520A,"$3,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 4/30/2020 to 4/30/2021,"1120 15th St, Augusta, GA 30912",GA,33.470787,-81.98959
University 170,85.0,3/25/20,NB032520D,$587.00 ,3 Months,4700-0-00-00000-00-0000,3 Months Subscription 3/24/2020 to 6/30/2020,"1120 15th St, Augusta, GA 30912",GA,33.470787,-81.98959
University 90,400.0,11/17/17,87,"$6,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 12/31/17 to 12/31/18,"601 College St, Clarksville, TN 37044",TN,36.53188,-87.35472
University 90,200.0,1/23/19,169,"$3,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 12/31/18 to 12/31/19,"601 College St, Clarksville, TN 37044",TN,36.53188,-87.35472
University 90,200.0,12/16/19,248,"$2,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 12/31/19 to 12/31/20,"601 College St, Clarksville, TN 37044",TN,36.53188,-87.35472
University 90,150.0,9/8/20,NB090820U,"$1,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 12/31/2019 to 12/31/2020,"601 College St, Clarksville, TN 37044",TN,36.53188,-87.35472
University 145,,6/24/19,197,"$3,600.00 ",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 6/24/19 to 6/30/22,"8489 Madison Ave NE Bainbridge Island, WA",WA,47.638782,-122.521704
University 364,1150.0,9/24/20,NB092420,"$3,250.00 ",3 Months,4700-0-00-00000-00-0000,3 Months Subscription 9/24/2020 to 12/24/2020,"2000 W University Ave, Muncie, IN 47306",IN,40.208682,-85.408472
University 294,25.0,8/25/20,NB082520H,$437.00 ,3 Months,4700-0-00-00000-00-0000,3 Months Subscription 9/15/2020 to 12/15/2020,"30 Campus Rd, Annandale-On-Hudson, NY 12504",NY,42.024516,-73.903544
University 322,80.0,9/8/20,NB090820E,"$2,300.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 9/1/2020 to 8/31/2021,"400 Atlantic Christian e West NE, Wilson, NC 27893",NC,35.736373,-77.913347
University 237,115.0,7/8/20,NB070820,"$2,650.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/1/2020 to 7/31/2021,"1500 Peachtree Street, Jackson, MS  39202",MS,32.318452,-90.169203
University 214,100.0,8/25/20,NB082520E,$400.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 5/4/2020 to 4/30/2021,"2001 Newburg RD, Louisville, KY 40205",KY,38.218713,-85.705324
University 214,100.0,5/1/20,NB050120B,"$2,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 5/4/2020 to 4/30/2021,"2001 Newburg RD, Louisville, KY 40205",KY,38.218713,-85.705324
University 214,20.0,10/1/20,NB100120D,$200.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 5/4/2020 to 4/30/2021,"2001 Newburg RD, Louisville, KY 40205",KY,38.218713,-85.705324
University 258,110.0,8/3/20,NB080320A,"$2,600.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/1/2020 to 7/31/2021,"Knapp Hall 104B, CPO 2195, Berea, KY  40404",KY,37.646278,-84.271598
University 295,15.0,8/25/20,NB082520J,"$1,650.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/21/2020 to 8/31/2021,"2377 Martha Berry Highway NW, Mount Berry, GA  30149",GA,34.291869,-85.179874
University 45,85.0,10/11/16,AJ552,$750.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/11/16 to 10/31/17,"425 Grand Ave, Billings, MT 59101",MT,45.78457,-108.52682800000001
University 45,85.0,8/28/17,60,$750.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/31/17 to 10/31/18,"425 Grand Ave, Billings, MT 59101",MT,45.78457,-108.52682800000001
University 111,,5/29/18,130,"$1,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 06/1/18 to 06/30/19,"900 Arkadelphia Road, Birmingham, AL  35254",AL,33.516737,-86.85171
University 111,50.0,7/1/19,201,"$1,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 6/30/19 to 6/30/20,"900 Arkadelphia Road, Birmingham, AL  35254",AL,33.516737,-86.85171
University 111,50.0,4/30/20,NB043020,"$1,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 6/30/2020 to 6/30/2021,"900 Arkadelphia Road, Birmingham, AL  35254",AL,33.516737,-86.85171
University 154,52.0,10/11/19,229,"$15,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 9/29/19 to 9/29/22,"135 University Avenue, Suite 200
Palto Alto, CA 94301",CA,37.44416,-122.163743
University 154,,10/17/19,230,,3 Years,4700-0-00-00000-00-0000,3 Years Subscription 9/29/19 to 9/29/22,"135 University Avenue, Suite 200
Palto Alto, CA 94301",CA,37.44416,-122.163743
University 154,52.0,10/7/20,NB100720,"$15,520.00 ",6 Months,4700-0-00-00000-00-0000,6 Months Subscription 8/31/2020 to 02/28/2021,"135 University Avenue, Suite 200
Palto Alto, CA 94301",CA,37.44416,-122.163743
University 156,15.0,11/13/19,237,"$1,650.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 11/12/19 to 11/30/20,"1211 Center Street, Bowling Green, KY  42101",KY,36.992329,-86.447825
University 156,5.0,11/16/20,NB111620A,"$1,550.00",1 Year,4700-0-00-00000-00-0000,1 yr Subscription 11/30/2020 to 11/30/2021,"1211 Center Street, Bowling Green, KY  42101",KY,36.992329,-86.447825
University 355,358.0,9/17/20,NB091720A,"$1,270.00 ",3 Months,4700-0-00-00000-00-0000,3 Months Subscription 10/1/2020 to 12/30/2020,"101 Education Bldg., BGSU, Bowling Green, OH  43403",OH,41.379729,-83.622879
University 296,75.0,8/25/20,NB082520P,$565.00 ,3 Months,4700-0-00-00000-00-0000,3 Months Subscription 8/25/2020 to 12/7/2020,"1501 W Bradley Ave, Peoria, IL 61625",IL,40.696765,-89.615822
University 323,50.0,9/8/20,NB090820G,"$2,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 9/4/2020 to 8/31/2021,"415 South St, Waltham, MA 02453",MA,42.366533000000004,-71.258093
University 147,350.0,7/1/19,202,"$2,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/1/19 to 7/31/20,"500 Washington St SE, Gainesville, GA 30501",GA,34.30189,-83.822057
University 147,350.0,8/7/20,NB080720A,"$2,600.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 7/31/2020 to 7/31/2021,"500 Washington St SE, Gainesville, GA 30501",GA,34.30189,-83.822057
University 268,110.0,8/12/20,NB081220C,"$2,600.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/4/2020 to 7/31/2021,"402 E. College St., Bridgewater, VA  22812",VA,38.378931,-78.970686
University 225,150.0,6/16/20,NB061620,"$3,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 6/16/2020 to 06/30/2021,"220 Kulanui St, Laie, HI 96762",HI,21.650377,-157.924912
University 247,350.0,7/23/20,NB072320A,"$1,222.00 ",3 Months,4700-0-00-00000-00-0000,3 Months Subscription 9/1/2020 to 12/8/2020,"1812 Sir Isaac Brock Way, St. Catharines, Ontario, Canada L2S3A1",Canada,43.118798999999996,-79.238508
University 247,116.0,9/8/20,NB090820AA,$290.00 ,3 Months,4700-0-00-00000-00-0000,3 Months Subscription 9/1/2020 to 12/8/2020,"1812 Sir Isaac Brock Way, St. Catharines, Ontario, Canada L2S3A1",Canada,43.118798999999996,-79.238508
University 390,20.0,10/22/20,NB102020,$425.00 ,3 Months,4700-0-00-00000-00-0000,3 Months Subscription 11/1/2020 to 1/31/2021,"10 Prospect St., Box A, Providence, RI  02912",RI,41.82574,-71.405199
University 390,10.0,11/20/20,NB112020,$100.00,3 Months,4700-0-00-00000-00-0000,3 Mo Subscription 11/01/2020 to 1/31/2021,"10 Prospect St., Box A, Providence, RI  02912",RI,,
University 7,,10/27/15,AJ506,"$28,000.00 ",1 Year,4700-4-11-00100-00-1502,1 Year Subscription 09/18/15-12/31/16,"1849 C Street, N.W Washington, D.C. 20240",DC,38.894453000000006,-77.042603
University 7,,12/10/15,AJ507,"$16,200.00 ",1 Year,4700-4-11-00100-00-1502,1 Year Subscription 09/18/15-12/31/16,"1849 C Street, N.W Washington, D.C. 20240",DC,38.894453000000006,-77.042603
University 7,,10/9/20,NB100920A,"$21,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/1/2020 to 9/30/2021,"1849 C Street, N.W Washington, D.C. 20240",DC,38.894453000000006,-77.042603
University 248,250.0,7/23/20,NB072320D,"$4,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 7/24/2020 to 7/31/2021,"400 W 1st St, Chico, CA 95929",CA,39.729732,-121.844783
University 248,50.0,9/1/20,NB090120A,$500.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 7/24/2020 to 7/31/2021,"400 W 1st St, Chico, CA 95929",CA,39.729732,-121.844783
University 365,750.0,9/24/20,NB092420B,"$2,125.00 ",3 Months,4700-0-00-00000-00-0000,3 Months Subscription 9/21/2020 to 12/21/2020,"1000 E Victoria St, Carson, CA 90747",CA,33.863908,-118.255633
University 243,95.0,8/25/20,NB082520,$950.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 7/15/2020 to 7/31/2021,"1 University Cir, Turlock, CA 95382",CA,37.52499,-120.85845900000001
University 243,70.0,9/13/20,NB091320C,$700.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 7/15/2020 to 7/31/2021,"1 University Cir, Turlock, CA 95382",CA,37.52499,-120.85845900000001
University 243,10.0,12/3/20,NB120320,$100.00 ,1 Year,4700-0-00-00000-00-0000,1 yr Subscription 7/15/2020 to 7/31/2021,"1 University Circle, Suite DBH 301, Turlock, CA  95382",CA,37.52499,-120.85845900000001
University 243,100.0,7/16/20,NB071620B,"$2,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 7/15/2020 to 7/31/2021,"1 University Cir, Turlock, CA 95382",CA,37.52499,-120.85845900000001
University 243,325.0,9/8/20,NB090820Y,"$3,250.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 7/15/2020 to 7/31/2021,"1 University Cir, Turlock, CA 95382",CA,37.52499,-120.85845900000001
University 243,36.0,9/21/20,NB092120,$360.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 7/15/2020 to 7/31/2021,"1 University Cir, Turlock, CA 95382",CA,37.52499,-120.85845900000001
University 243,19.0,10/1/20,NB100120B,$190.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 7/15/2020 to 7/31/2021,"1 University Cir, Turlock, CA 95382",CA,37.52499,-120.85845900000001
University 230,50.0,6/22/20,NB062220,"$1,029.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 6/22/2020 to 6/30/2021,"3801 W. Temple Ave., Bldg. 6 Room 220, Pomona, CA 91768",CA,34.057959999999994,-117.82268799999999
University 43,250.0,9/29/16,AJ549,"$8,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 11/29/16 to 11/30/17,"444 North Capitol St NW # 207, Washington, DC 20001",DC,38.89583,-77.009828
University 264,100.0,8/10/20,NB081020B,"$2,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/7/2020 to 7/31/2021,"1250 Bellflower Blvd, Long Beach, CA 90840",CA,33.782523,-118.12220500000001
University 324,40.0,9/8/20,NB090820B,"$1,976.30 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/21/2020 to 8/31/2021,"18111 Nordhoff St, Northridge, CA 91330",CA,34.236075,-118.528326
University 291,300.0,8/24/20,NB082420A,"$4,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/20/2020 to 8/31/2021,"800 N State College Blvd, Fullerton, CA 92831",CA,33.879661999999996,-117.88549599999999
University 16,500.0,5/11/16,AJ518,"$6,600.00 ",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 8/1/16 to 7/31/2019,"250 University Ave, California, PA 15419",PA,40.065615,-79.885932
University 16,500.0,5/11/16,AJ518(2),"$2,850.00 ",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 8/1/16 to 7/31/2019,"250 University Ave, California, PA 15419",PA,40.065615,-79.885932
University 16,700.0,8/12/20,NB081220,"$8,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/17/2020 to 8/31/2021,"250 University Ave, California, PA 15419",PA,40.065615,-79.885932
University 338,34.0,9/11/20,NB091120J,"$1,840.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/28/2020 to 8/31/2021,"1305 Dares Beach Rd, Prince Frederick, MD 20678",MD,38.551889,-76.57221
University 78,20.0,8/23/17,58,"$2,700.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/23/17 to 8/31/18,"143 Main St, Buies Creek, NC 27506",NC,35.409133000000004,-78.73821099999999
University 78,20.0,8/23/18,146,"$1,700.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/31/18 to 8/31/19,"143 Main St, Buies Creek, NC 27506",NC,35.409133000000004,-78.73821099999999
University 386,14.0,10/15/20,NB101520A,"$1,640.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/14/2020 to 10/31/2021,"E Main St & College Ave, Bexley, OH 43209",OH,39.957227,-82.940015
University 161,50.0,3/17/20,NB031720A,"$1,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 3/17/2020 to 3/31/2021,"2300 W Innes St, Salisbury, NC 28144",NC,35.691116,-80.481124
University 64,250.0,5/23/17,33,"$10,500.00 ",3 Years,4700-0-00-00000-00-0000,3 Years Subscription,"1615 Stanley St, New Britain, CT 06050",CT,41.68339,-72.767385
University 64,150.0,6/4/20,NB060420A,"$7,500.00 ",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 5/31/2020 to 05/32/2023,"1615 Stanley St, New Britain, CT 06050",CT,41.68339,-72.767385
University 152,50.0,9/9/19,216,"$1,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/1/19 to 12/31/20,"400 E University Way, Ellensburg, WA 98926",WA,47.000333000000005,-120.541972
University 152,100.0,4/15/20,NB041520C,$547.43 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/1/2019 to 12/31/2020,"400 E University Way, Ellensburg, WA 98926",WA,47.000333000000005,-120.541972
University 56,60.0,12/1/20,NB120120,"$4,800.00 ",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 11/30/2020 to 11/30/2023,"2660 Peck Ave, Riverton, WY  82520",WY,43.031001,-108.426371
University 124,,10/16/18,156,"$1,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/16/18 to 10/31/19,"525 Eden Terrace, Rock Hill, SC 29730",SC,34.941683000000005,-81.029894
University 124,,10/16/18,157,"$3,500.00 ",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 10/16/18 to 10/31/21,"525 Eden Terrace, Rock Hill, SC 29730",SC,34.941683000000005,-81.029894
University 124,,10/22/19,232,"$1,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/31/19 to 10/31/20,"525 Eden Terrace, Rock Hill, SC 29730",SC,34.941683000000005,-81.029894
University 195,100.0,4/9/20,NB040920D,$625.00 ,3 Months,4700-0-00-00000-00-0000,3 Months Subscription 4/6/2020 to 7/7/2020,"1 University Dr, Orange, CA 92866",CA,33.793603999999995,-117.85158100000001
University 134,260.0,9/1/20,NB090120Q,"$10,800.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/20/2020 to 8/31/2021,"9200 University Blvd, North Charleston, SC 29406",SC,32.981204,-80.071966
University 134,100.0,3/15/19,179,"$1,250.00 ",6 Months,4700-0-00-00000-00-0000,6 Months Subscription 7/1/19 to 12/31/19,"9200 University Blvd, North Charleston, SC 29406",SC,32.981204,-80.071966
University 251,200.0,7/29/20,NB072920A,"$2,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/17/2020 to 8/31/2021,"9501 S. King Dr., Chicago, IL  60628                   ",IL,41.71658,-87.60847199999999
University 34,250.0,8/23/16,AJ542,"$3,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 11/1/16 to 10/31/17,"50 Gender Road, Newark, DE 19713",DE,39.658390000000004,-75.717762
University 199,300.0,12/3/20,NB120320B,"$2,250.00 ",6 Months,4700-0-00-00000-00-0000,6 Months Subscription 1/1/2021 to 6/30/2021,"205 E. 42nd Street, 9th FL., New York, NY  10017",NY,40.750809999999994,-73.973537
University 199,100.0,4/15/20,NB041520,$625.00 ,3 Months,4700-0-00-00000-00-0000,3 Months Subscription 4/10/2020 to 7/10/2020,"205 E. 42nd Street, 9th FL., New York, NY  10017",NY,40.750809999999994,-73.973537
University 199,100.0,4/15/20,NB041520I,$225.00 ,3 Months,4700-0-00-00000-00-0000,3 Months Subscription 4/10/2020 to 7/10/2020,"205 E. 42nd Street, 9th FL., New York, NY  10017",NY,40.750809999999994,-73.973537
University 199,190.0,7/8/20,NB070820A,"$1,700.00 ",6 Months,4700-0-00-00000-00-0000,6 Months Subscription 7/1/2020 to 12/31/2020,"205 E. 42nd Street, 9th FL., New York, NY  10017",NY,40.750809999999994,-73.973537
University 199,110.0,10/7/20,NB100820D,$495.00 ,6 Months,4700-0-00-00000-00-0000,6 Months Subscription 7/1/2020 to 12/30/2020,"205 E. 42nd Street, 9th FL., New York, NY  10017",NY,40.750809999999994,-73.973537
University 325,300.0,9/8/20,NB090820Z,"$4,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 9/2/2020 to 8/31/2021,"840 Wood St, Clarion, PA 16214",PA,41.210449,-79.37899999999999
University 6,,10/19/15,AJ505,"$3,400.00 ",1 Year,4700-0-00-00000-28-0000,1 Year Subscription 10/01/15 to 10/1/16,"4230 McLeod Dr, Las Vegas, NV 89121",NV,36.112561,-115.109222
University 6,,7/26/18,140,"$7,350.00 ",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 7/26/18 to 7/31/21,"4230 McLeod Dr, Las Vegas, NV 89121",NV,36.112561,-115.109222
University 252,100.0,7/30/20,NB073020C,"$2,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/1/2020 to 7/31/2021,"2000 Clayton State Blvd, Morrow, GA 30260",GA,33.594374,-84.328396
University 234,60.0,6/25/20,NB062520,$540.33 ,3 Months,4700-0-00-00000-00-0000,3 Months Subscription 9/1/2020 to 12/1/2020,"105 Sikes Hall, Clemson, SC 29634",SC,34.681999,-82.782158
University 133,20.0,2/27/19,177,"$1,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 2/27/19 to 2/29/20,"115 Bethware Drive Kings Mountain, NC 28086",NC,35.248064,-81.414194
University 289,150.0,8/20/20,NB082020D,"$3,300.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/17/2020 to 8/31/2021,"100 Chanticleer Dr E, Conway, SC 29528",SC,33.795302,-79.007856
University 171,50.0,3/25/20,NB032520,"$1,000.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 3/19/2020 to 3/31/2021,"13 Oak Dr, Hamilton, NY 13346",NY,42.818179,-75.53522099999999
University 326,40.0,9/8/20,NB090820D,"$1,976.30 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 9/1/2020 to 8/31/2021,"201 E Kirby St, Detroit, MI 48202",MI,42.36125,-83.064187
University 167,75.0,3/23/20,NB032320,$563.00 ,3 Months,4700-0-00-00000-00-0000,3 Months Subscription 3/23/2020 to 6/30/2020,"1 College Dr, Brunswick, GA 31520",GA,31.180760999999997,-81.487082
University 167,120.0,4/27/20,NB042720A,"$2,700.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 6/1/2020 to 5/31/2021,"1 College Dr, Brunswick, GA 31520",GA,31.180760999999997,-81.487082
University 209,100.0,4/23/20,NB042320C,$625.00 ,3 Months,4700-0-00-00000-00-0000,3 Months Subscription 4/22/2020 to 7/22/2020,"6301 Riverdale Ave, The Bronx, NY 10471",NY,40.912795,-73.902821
University 8,250.0,12/17/15,AJ508,"$3,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/22/15 to 10/31/16,"200 Stadium Dr, Williamsburg, VA 23185",VA,37.27174,-76.71426
University 8,250.0,10/17/16,AJ553,"$3,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/31/16 to 10/31/17,"200 Stadium Dr, Williamsburg, VA 23185",VA,37.27174,-76.71426
University 8,20.0,9/29/17,71,"$1,700.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/31/17 to 10/31/18,"200 Stadium Dr, Williamsburg, VA 23185",VA,37.27174,-76.71426
University 8,20.0,9/11/18,149,"$1,700.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/31/18 to 10/31/19,"200 Stadium Dr, Williamsburg, VA 23185",VA,37.27174,-76.71426
University 158,30.0,12/12/19,246,$600.00 ,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 12/3/19 to 12/31/20,"1500 Grant Street Denver, Colorado 80203",CO,39.740309,-104.98319099999999
University 306,300.0,9/1/20,NB090120N,"$4,500.00 ",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/17/2020 to 8/31/2021,"2200 Bonforte Blvd, Pueblo, CO 81001",CO,38.309475,-104.57770699999999
