Customers,ID,Number of Users,Invoice Date,Invoice #,Year,Month,Invoice Amount,Subscription,2021 Prediction,Lost Customer,Customers Status,Account Code ,Dates of service ,Address,State,Lat,Long
Armstrong State University,15,250.0,6/10/16,AJ530 (2),2016,June,"$2,450.00 ",3 Years,,,New,4700-0-00-00000-00-0000,3 Years Subscription 6/6/17 to 5/31/18,"11935 Abercorn St, Savannah, GA 31419",GA,31.978808,-81.16297800000001
Armstrong State University,15,250.0,6/10/16,AJ530 (3),2016,June,"$2,450.00 ",3 Years,,2019.0,New,4700-0-00-00000-00-0000,3 Years Subscription 6/6/18 to 5/31/19,"11935 Abercorn St, Savannah, GA 31419",GA,31.978808,-81.16297800000001
Auburn University,16,55.0,4/22/20,NB042220,2020,April,$527.00 ,3 Months,,,New,4700-0-00-00000-00-0000,3 Months Subscription 4/17/2020 to 7/17/2020,"5042 Haley Center, Auburn, AL 36849",AL,32.602286,-85.486081
Auburn University,16,80.0,7/30/20,NB073020A,2020,July,"$2,300.00 ",1 Year,"$2,300.00 ",,Returning,4700-0-00-00000-00-0000,1 Year Subscription 7/22/2020 to 7/31/2021,"5042 Haley Center, Auburn, AL 36849",AL,32.602286,-85.486081
Augusta University,17,100.0,5/11/16,AJ517,2016,May,$750.00 ,1 Year,,,New,4700-0-00-00000-00-0000,1 Year Subscription 5/03/16 to 5/2/17,"1120 15th St, Augusta, GA 30912",GA,33.470787,-81.98959
Augusta University,17,100.0,4/18/17,22,2017,April,$750.00 ,1 Year,,,Returning,4700-0-00-00000-00-0000,1 Year Subscription 5/2/17 to 5/2/18,"1120 15th St, Augusta, GA 30912",GA,33.470787,-81.98959
Augusta University,17,100.0,3/19/18,103,2018,March,$750.00 ,1 Year,,,Returning,4700-0-00-00000-00-0000,1 Year Subscription 5/2/18 to 4/30/19,"1120 15th St, Augusta, GA 30912",GA,33.470787,-81.98959
Augusta University,17,25.0,4/4/19,,2019,April,$750.00 ,1 Year,,,Returning,4700-0-00-00000-00-0000,1 Year Subscription 4/30/19 to 4/30/20,"1120 15th St, Augusta, GA 30912",GA,33.470787,-81.98959
Augusta University,17,50.0,3/5/20,NB030520,2020,March,$750.00 ,1 Year,,,Returning,4700-0-00-00000-00-0000,1 Year Subscription 4/30/2020 to 4/30/2021,"1120 15th St, Augusta, GA 30912",GA,33.470787,-81.98959
Augusta University,17,75.0,3/20/20,NB032020C,2020,March,"$1,125.00 ",3 Months,,,Returning,4700-0-00-00000-00-0000,3 Months Subscription 3/19/2020 to 6/30/2020,"1120 15th St, Augusta, GA 30912",GA,33.470787,-81.98959
Augusta University,17,300.0,7/15/20,NB071520A,2020,July,"$3,000.00 ",1 Year,"$3,000.00 ",,Returning,4700-0-00-00000-00-0000,1 Year Subscription 4/30/2020 to 4/30/2021,"1120 15th St, Augusta, GA 30912",GA,33.470787,-81.98959
Augustana College,18,85.0,3/25/20,NB032520D,2020,March,$587.00 ,3 Months,,,New,4700-0-00-00000-00-0000,3 Months Subscription 3/24/2020 to 6/30/2020,"1120 15th St, Augusta, GA 30912",GA,33.470787,-81.98959
Augustana College,18,150.0,12/9/20,NB121020,2020,December,"$3,000.00",3 Months,,,Returning,4700-0-00-00000-00-0000,1 yr Subscription 8/25/2020 to 8/31/2021,"1120 15th St, Augusta, GA 30912",GA,33.470787,-81.98959
Austin Peay State University,19,400.0,11/17/17,87,2017,November,"$6,500.00 ",1 Year,,,New,4700-0-00-00000-00-0000,1 Year Subscription 12/31/17 to 12/31/18,"601 College St, Clarksville, TN 37044",TN,36.53188,-87.35472
Austin Peay State University,19,200.0,1/23/19,169,2019,January,"$3,500.00 ",1 Year,,,Returning,4700-0-00-00000-00-0000,1 Year Subscription 12/31/18 to 12/31/19,"601 College St, Clarksville, TN 37044",TN,36.53188,-87.35472
Austin Peay State University,19,200.0,12/16/19,248,2019,December,"$2,500.00 ",1 Year,,,Returning,4700-0-00-00000-00-0000,1 Year Subscription 12/31/19 to 12/31/20,"601 College St, Clarksville, TN 37044",TN,36.53188,-87.35472
Austin Peay State University,19,150.0,9/8/20,NB090820U,2020,September,"$1,500.00 ",1 Year,"$1,500.00 ",,Returning,4700-0-00-00000-00-0000,1 Year Subscription 12/31/2019 to 12/31/2020,"601 College St, Clarksville, TN 37044",TN,36.53188,-87.35472
Austin Peay State University,19,350.0,1/5/21,NB010521B,2021,January,"$2,850.00",1 Year,,,Returning,4700-0-00-00000-00-0000,1 yr Subscription 1/1/2021 to 12/31/2021,"601 College St, Clarksville, TN 37044",TN,36.53188,-87.35472
Bainbridge Island School District,20,60.0,6/24/19,197,2019,June,"$3,600.00 ",3 Years,,,New,4700-0-00-00000-00-0000,3 Years Subscription 6/24/19 to 6/30/22,"8489 Madison Ave NE Bainbridge Island, WA",WA,47.638782,-122.521704
Ball State University,21,1150.0,9/24/20,NB092420,2020,September,"$3,250.00 ",3 Months,"$3,250.00 ",,New,4700-0-00-00000-00-0000,3 Months Subscription 9/24/2020 to 12/24/2020,"2000 W University Ave, Muncie, IN 47306",IN,40.208682,-85.408472
Ball State University,21,577.0,1/19/21,NB011921A,2021,January,"$1,654.00",4 Months,,,Returning,4700-0-00-00000-00-0000,4 Months Subscription 1/19/2021 to 05/19/21,"2000 W University Ave, Muncie, IN 47306",IN,40.208682,-85.408472
Bard College,22,25.0,8/25/20,NB082520H,2020,August,$437.00 ,3 Months,$437.00 ,2020.0,New,4700-0-00-00000-00-0000,3 Months Subscription 9/15/2020 to 12/15/2020,"30 Campus Rd, Annandale-On-Hudson, NY 12504",NY,42.024516,-73.903544
Barton College,23,80.0,9/8/20,NB090820E,2020,September,"$2,300.00 ",1 Year,"$2,300.00 ",,New,4700-0-00-00000-00-0000,1 Year Subscription 9/1/2020 to 8/31/2021,"400 Atlantic Christian e West NE, Wilson, NC 27893",NC,35.736373,-77.913347
Belhaven University,24,115.0,7/8/20,NB070820,2020,July,"$2,650.00 ",1 Year,"$2,650.00 ",,New,4700-0-00-00000-00-0000,1 Year Subscription 8/1/2020 to 7/31/2021,"1500 Peachtree Street, Jackson, MS  39202",MS,32.318452,-90.169203
Bellarmine University,25,100.0,5/1/20,NB050120B,2020,May,"$2,500.00 ",1 Year,,,New,4700-0-00-00000-00-0000,1 Year Subscription 5/4/2020 to 4/30/2021,"2001 Newburg RD, Louisville, KY 40205",KY,38.218713,-85.705324
Bellarmine University,25,100.0,8/25/20,NB082520E,2020,August,$400.00 ,1 Year,,,Returning,4700-0-00-00000-00-0000,1 Year Subscription 5/4/2020 to 4/30/2021,"2001 Newburg RD, Louisville, KY 40205",KY,38.218713,-85.705324
Bellarmine University,25,20.0,10/1/20,NB100120D,2020,October,$200.00 ,1 Year,$400.00 ,,Returning,4700-0-00-00000-00-0000,1 Year Subscription 5/4/2020 to 4/30/2021,"2001 Newburg RD, Louisville, KY 40205",KY,38.218713,-85.705324
Berea College,26,110.0,8/3/20,NB080320A,2020,August,"$2,600.00 ",1 Year,"$2,600.00 ",,New,4700-0-00-00000-00-0000,1 Year Subscription 8/1/2020 to 7/31/2021,"Knapp Hall 104B, CPO 2195, Berea, KY  40404",KY,37.646278,-84.271598
Berry College,27,15.0,8/25/20,NB082520J,2020,August,"$1,650.00 ",1 Year,"$1,650.00 ",,New,4700-0-00-00000-00-0000,1 Year Subscription 8/21/2020 to 8/31/2021,"2377 Martha Berry Highway NW, Mount Berry, GA  30149",GA,34.291869,-85.179874
Billings Senior High School,28,85.0,10/11/16,AJ552,2016,October,$750.00 ,1 Year,,,New,4700-0-00-00000-00-0000,1 Year Subscription 10/11/16 to 10/31/17,"425 Grand Ave, Billings, MT 59101",MT,45.78457,-108.52682800000001
Billings Senior High School,28,85.0,8/28/17,60,2017,August,$750.00 ,1 Year,,2018.0,Returning,4700-0-00-00000-00-0000,1 Year Subscription 10/31/17 to 10/31/18,"425 Grand Ave, Billings, MT 59101",MT,45.78457,-108.52682800000001
Birmingham-Southern College,29,75.0,5/29/18,130,2018,May,"$1,500.00 ",1 Year,,,New,4700-0-00-00000-00-0000,1 Year Subscription 06/1/18 to 06/30/19,"900 Arkadelphia Road, Birmingham, AL  35254",AL,33.516737,-86.85171
Birmingham-Southern College,29,50.0,7/1/19,201,2019,July,"$1,000.00 ",1 Year,,,Returning,4700-0-00-00000-00-0000,1 Year Subscription 6/30/19 to 6/30/20,"900 Arkadelphia Road, Birmingham, AL  35254",AL,33.516737,-86.85171
Birmingham-Southern College,29,50.0,4/30/20,NB043020,2020,April,"$1,000.00 ",1 Year,"$1,000.00 ",,Returning,4700-0-00-00000-00-0000,1 Year Subscription 6/30/2020 to 6/30/2021,"900 Arkadelphia Road, Birmingham, AL  35254",AL,33.516737,-86.85171
"BloomBoard, Inc.",30,52.0,10/11/19,229,2019,October,"$15,000.00 ",1 Year,,,New,4700-0-00-00000-00-0000,1 Year Subscription 9/29/19 to 9/29/22,"135 University Avenue, Suite 200
Palto Alto, CA 94301",CA,37.44416,-122.163743
"BloomBoard, Inc.",30,,10/17/19,230,2019,October,,3 Years,,,Returning,4700-0-00-00000-00-0000,3 Years Subscription 9/29/19 to 9/29/22,"135 University Avenue, Suite 200
Palto Alto, CA 94301",CA,37.44416,-122.163743
"BloomBoard, Inc.",30,52.0,10/7/20,NB100720,2020,October,"$15,520.00 ",6 Months,"$15,520.00 ",,Returning,4700-0-00-00000-00-0000,6 Months Subscription 8/31/2020 to 02/28/2021,"135 University Avenue, Suite 200
Palto Alto, CA 94301",CA,37.44416,-122.163743
"BloomBoard, Inc.",30,50.0,1/4/21,NB010421D,2021,January,$500.00,3 Years,,,Returning,4700-0-00-00000-00-0000,3 yr Subscription 9/29/2020 to 9/30/2022,"135 University Avenue, Suite 200
Palto Alto, CA 94301",CA,37.44416,-122.163743
Bowie State University,31,40.0,1/14/21,NB011421,2021,January,"$1,900.00",1 Year,,,New,4700-0-00-00000-00-0000,1 yr Subscription 1/5/2021 to 12/31/2021,"14000 Jericho Park, Building 263, Bowie, MD  20715-9465",MD,39.01641,-76.76289
Bowling Green Independent Schools,32,15.0,11/13/19,237,2019,November,"$1,650.00 ",1 Year,,,New,4700-0-00-00000-00-0000,1 Year Subscription 11/12/19 to 11/30/20,"1211 Center Street, Bowling Green, KY  42101",KY,36.992329,-86.447825
Bowling Green Independent Schools,32,5.0,11/16/20,NB111620A,2020,November,"$1,550.00",1 Year,"$1,600.00 ",,Returning,4700-0-00-00000-00-0000,1 yr Subscription 11/30/2020 to 11/30/2021,"1211 Center Street, Bowling Green, KY  42101",KY,36.992329,-86.447825
Bowling Green State University,33,358.0,9/17/20,NB091720A,2020,September,"$1,270.00 ",3 Months,"$1,270.00 ",,New,4700-0-00-00000-00-0000,3 Months Subscription 10/1/2020 to 12/30/2020,"101 Education Bldg., BGSU, Bowling Green, OH  43403",OH,41.379729,-83.622879
Bowling Green State University,33,375.0,1/7/21,NB010721A,2021,January,"$1,312.00",3 Months,,,Returning,4700-0-00-00000-00-0000,3 Mo Subscription 1/15/2021 to 4/30/2021,"101 Education Bldg., BGSU, Bowling Green, OH  43403",OH,41.379729,-83.622879
Bradley University,34,75.0,8/25/20,NB082520P,2020,August,$565.00 ,3 Months,$565.00 ,,New,4700-0-00-00000-00-0000,3 Months Subscription 8/25/2020 to 12/7/2020,"1501 W Bradley Ave, Peoria, IL 61625",IL,40.696765,-89.615822
Bradley University,34,65.0,1/26/21,NB012621C,2021,January,$537.00,3 Months,,,Returning,4700-0-00-00000-00-0000,3 Mo Subscription 2/1/2021 to 4/30/2021,"1501 W Bradley Ave, Peoria, IL 61625",IL,40.696765,-89.615822
Brandeis University,35,50.0,9/8/20,NB090820G,2020,September,"$2,000.00 ",1 Year,"$2,000.00 ",,New,4700-0-00-00000-00-0000,1 Year Subscription 9/4/2020 to 8/31/2021,"415 South St, Waltham, MA 02453",MA,42.366533000000004,-71.258093
Brenau University,36,350.0,7/1/19,202,2019,July,"$2,500.00 ",1 Year,,,New,4700-0-00-00000-00-0000,1 Year Subscription 8/1/19 to 7/31/20,"500 Washington St SE, Gainesville, GA 30501",GA,34.30189,-83.822057
Brenau University,36,350.0,8/7/20,NB080720A,2020,August,"$2,600.00 ",1 Year,"$2,550.00 ",,Returning,4700-0-00-00000-00-0000,1 Year Subscription 7/31/2020 to 7/31/2021,"500 Washington St SE, Gainesville, GA 30501",GA,34.30189,-83.822057
Bridgewater College,37,110.0,8/12/20,NB081220C,2020,August,"$2,600.00 ",1 Year,"$2,600.00 ",,New,4700-0-00-00000-00-0000,1 Year Subscription 8/4/2020 to 7/31/2021,"402 E. College St., Bridgewater, VA  22812",VA,38.378931,-78.970686
Brigham Young University – Hawaii,38,150.0,6/16/20,NB061620,2020,June,"$3,000.00 ",1 Year,"$3,000.00 ",,New,4700-0-00-00000-00-0000,1 Year Subscription 6/16/2020 to 06/30/2021,"220 Kulanui St, Laie, HI 96762",HI,21.650377,-157.924912
Brock University,39,350.0,7/23/20,NB072320A,2020,July,"$1,222.00 ",3 Months,,,New,4700-0-00-00000-00-0000,3 Months Subscription 9/1/2020 to 12/8/2020,"1812 Sir Isaac Brock Way, St. Catharines, Ontario, Canada L2S3A1",Canada,43.118798999999996,-79.238508
Brock University,39,116.0,9/8/20,NB090820AA,2020,September,$290.00 ,3 Months,$756.00 ,,Returning,4700-0-00-00000-00-0000,3 Months Subscription 9/1/2020 to 12/8/2020,"1812 Sir Isaac Brock Way, St. Catharines, Ontario, Canada L2S3A1",Canada,43.118798999999996,-79.238508
Brock University,39,350.0,12/8/20,NB120820,2020,December,"$2,500.00",6 Months,"$2,500.00 ",,Returning,4700-0-00-00000-00-0000,6 Months Subscription 12/9/2020 to 05/31/2021,"1812 Sir Isaac Brock Way, St. Catharines, Ontario, Canada L2S3A1",Canada,43.118798999999996,-79.238508
Brown University,40,20.0,10/22/20,NB102020,2020,October,$425.00 ,3 Months,,,New,4700-0-00-00000-00-0000,3 Months Subscription 11/1/2020 to 1/31/2021,"10 Prospect St., Box A, Providence, RI  02912",RI,41.82574,-71.405199
Brown University,40,10.0,11/20/20,NB112020,2020,November,$100.00,3 Months,$262.50 ,,Returning,4700-0-00-00000-00-0000,3 Mo Subscription 11/01/2020 to 1/31/2021,"10 Prospect St., Box A, Providence, RI  02912",RI,41.82574,-71.405199
Brown University,40,20.0,1/15/21,NB011521,2021,January,"$1,275.00",1 Year,,,Returning,4700-0-00-00000-00-0000,1 yr Subscription 11/1/2020 to 10/31/2021,"10 Prospect St., Box A, Providence, RI  02912",RI,41.82574,-71.405199
Bureau of Indian Affairs,41,2650.0,10/27/15,AJ506,2015,October,"$28,000.00 ",1 Year,,,New,4700-4-11-00100-00-1502,1 Year Subscription 09/18/15-12/31/16,"1849 C Street, N.W Washington, D.C. 20240",DC,38.894453000000006,-77.042603
Bureau of Indian Affairs,41,1470.0,12/10/15,AJ507,2015,December,"$16,200.00 ",1 Year,,,Returning,4700-4-11-00100-00-1502,1 Year Subscription 09/18/15-12/31/16,"1849 C Street, N.W Washington, D.C. 20240",DC,38.894453000000006,-77.042603
Bureau of Indian Affairs,41,1950.0,10/9/20,NB100920A,2020,October,"$21,000.00 ",1 Year,"$21,733.33 ",,Returning,4700-0-00-00000-00-0000,1 Year Subscription 10/1/2020 to 9/30/2021,"1849 C Street, N.W Washington, D.C. 20240",DC,38.894453000000006,-77.042603
CA State University Chico,42,250.0,7/23/20,NB072320D,2020,July,"$4,000.00 ",1 Year,,,New,4700-0-00-00000-00-0000,1 Year Subscription 7/24/2020 to 7/31/2021,"400 W 1st St, Chico, CA 95929",CA,39.729732,-121.844783
CA State University Chico,42,50.0,9/1/20,NB090120A,2020,September,$500.00 ,1 Year,"$2,250.00 ",,Returning,4700-0-00-00000-00-0000,1 Year Subscription 7/24/2020 to 7/31/2021,"400 W 1st St, Chico, CA 95929",CA,39.729732,-121.844783
CA State University Dominguez Hills,43,750.0,9/24/20,NB092420B,2020,September,"$2,125.00 ",3 Months,"$2,125.00 ",2020.0,New,4700-0-00-00000-00-0000,3 Months Subscription 9/21/2020 to 12/21/2020,"1000 E Victoria St, Carson, CA 90747",CA,33.863908,-118.255633
"CA State University, Stanislaus",44,100.0,7/16/20,NB071620B,2020,July,"$2,000.00 ",1 Year,,,New,4700-0-00-00000-00-0000,1 Year Subscription 7/15/2020 to 7/31/2021,"1 University Cir, Turlock, CA 95382",CA,37.52499,-120.85845900000001
"CA State University, Stanislaus",44,95.0,8/25/20,NB082520,2020,August,$950.00 ,1 Year,,,Returning,4700-0-00-00000-00-0000,1 Year Subscription 7/15/2020 to 7/31/2021,"1 University Cir, Turlock, CA 95382",CA,37.52499,-120.85845900000001
"CA State University, Stanislaus",44,325.0,9/8/20,NB090820Y,2020,September,"$3,250.00 ",1 Year,,,Returning,4700-0-00-00000-00-0000,1 Year Subscription 7/15/2020 to 7/31/2021,"1 University Cir, Turlock, CA 95382",CA,37.52499,-120.85845900000001
"CA State University, Stanislaus",44,70.0,9/13/20,NB091320C,2020,September,$700.00 ,1 Year,,,Returning,4700-0-00-00000-00-0000,1 Year Subscription 7/15/2020 to 7/31/2021,"1 University Cir, Turlock, CA 95382",CA,37.52499,-120.85845900000001
"CA State University, Stanislaus",44,36.0,9/21/20,NB092120,2020,September,$360.00 ,1 Year,,,Returning,4700-0-00-00000-00-0000,1 Year Subscription 7/15/2020 to 7/31/2021,"1 University Cir, Turlock, CA 95382",CA,37.52499,-120.85845900000001
"CA State University, Stanislaus",44,19.0,10/1/20,NB100120B,2020,October,$190.00 ,1 Year,"$9,575.00 ",,Returning,4700-0-00-00000-00-0000,1 Year Subscription 7/15/2020 to 7/31/2021,"1 University Cir, Turlock, CA 95382",CA,37.52499,-120.85845900000001
"CA State University, Stanislaus",44,10.0,12/3/20,NB120320,2020,December,$100.00 ,1 Year,,,Returning,4700-0-00-00000-00-0000,1 yr Subscription 7/15/2020 to 7/31/2021,"1 University Cir, Turlock, CA 95382",CA,37.52499,-120.85845900000001
"CA State University, Stanislaus",44,21.0,1/7/21,NB010721D,2021,January,$210.00,1 Year,,,Returning,4700-0-00-00000-00-0000,1 yr Subscription 7/15/2020 to 7/31/2021,"1 University Cir, Turlock, CA 95382",CA,37.52499,-120.85845900000001
California State Polytechnic University Pomona-Education/CEIS,45,50.0,6/22/20,NB062220,2020,June,"$1,029.00 ",1 Year,"$1,029.00 ",,New,4700-0-00-00000-00-0000,1 Year Subscription 6/22/2020 to 6/30/2021,"3801 W. Temple Ave., Bldg. 6 Room 220, Pomona, CA 91768",CA,34.057959999999994,-117.82268799999999
California State University,46,250.0,9/29/16,AJ549,2016,September,"$8,000.00 ",1 Year,,2017.0,New,4700-0-00-00000-00-0000,1 Year Subscription 11/29/16 to 11/30/17,"444 North Capitol St NW # 207, Washington, DC 20001",DC,38.89583,-77.009828
California State University Long Beach,47,100.0,8/10/20,NB081020B,2020,August,"$2,000.00 ",1 Year,"$2,000.00 ",,New,4700-0-00-00000-00-0000,1 Year Subscription 8/7/2020 to 7/31/2021,"1250 Bellflower Blvd, Long Beach, CA 90840",CA,33.782523,-118.12220500000001
California State University Northridge,48,40.0,9/8/20,NB090820B,2020,September,"$1,976.30 ",1 Year,"$1,976.30 ",,New,4700-0-00-00000-00-0000,1 Year Subscription 8/21/2020 to 8/31/2021,"18111 Nordhoff St, Northridge, CA 91330",CA,34.236075,-118.528326
California State University Northridge,48,15.0,12/17/20,NB121720,2020,December,"$1,650.00",1 Year,,,Returning,4700-0-00-00000-00-0000,1 yr Subscription 12/2/2020 to 9/30/2021,"18111 Nordhoff Street, Northridge, CA  91330",CA,34.236075,-118.528326
"California State University, Fullerton",49,300.0,8/24/20,NB082420A,2020,August,"$4,000.00 ",1 Year,"$4,000.00 ",,New,4700-0-00-00000-00-0000,1 Year Subscription 8/20/2020 to 8/31/2021,"800 N State College Blvd, Fullerton, CA 92831",CA,33.879661999999996,-117.88549599999999
California University of Pennsylvania,50,500.0,5/11/16,AJ518,2016,May,"$6,600.00 ",3 Years,,,New,4700-0-00-00000-00-0000,3 Years Subscription 8/1/16 to 7/31/2019,"250 University Ave, California, PA 15419",PA,40.065615,-79.885932
California University of Pennsylvania,50,500.0,5/11/16,AJ518(2),2016,May,"$2,850.00 ",3 Years,,,New,4700-0-00-00000-00-0000,3 Years Subscription 8/1/16 to 7/31/2019,"250 University Ave, California, PA 15419",PA,40.065615,-79.885932
California University of Pennsylvania,50,700.0,8/12/20,NB081220,2020,August,"$8,500.00 ",1 Year,"$8,500.00 ",,Returning,4700-0-00-00000-00-0000,1 Year Subscription 8/17/2020 to 8/31/2021,"250 University Ave, California, PA 15419",PA,40.065615,-79.885932
Calvert County Public Schools,51,34.0,9/11/20,NB091120J,2020,September,"$1,840.00 ",1 Year,"$1,840.00 ",,New,4700-0-00-00000-00-0000,1 Year Subscription 8/28/2020 to 8/31/2021,"1305 Dares Beach Rd, Prince Frederick, MD 20678",MD,38.551889,-76.57221
Campbell University,52,20.0,8/23/17,58,2017,August,"$2,700.00 ",1 Year,,,New,4700-0-00-00000-00-0000,1 Year Subscription 8/23/17 to 8/31/18,"143 Main St, Buies Creek, NC 27506",NC,35.409133000000004,-78.73821099999999
Campbell University,52,20.0,8/23/18,146,2018,August,"$1,700.00 ",1 Year,,2019.0,Returning,4700-0-00-00000-00-0000,1 Year Subscription 8/31/18 to 8/31/19,"143 Main St, Buies Creek, NC 27506",NC,35.409133000000004,-78.73821099999999
Campbellsville University,53,120.0,1/13/21,NB011321,2021,January,$672.00,6 Months,,,New,4700-0-00-00000-00-0000,6 Months Subscription 1/11/2021 to 06/30/2021,"1 University Dr., UPO 791, Campbellsville, KY  42718",KY,37.34422,-85.34876
Campbellsville University,53,30.0,1/22/21,NB012221A,2021,January,$150.00,6 Months,,,Returning,4700-0-00-00000-00-0000,6 Months Subscription 1/11/2021 to 06/30/2021,"1 University Dr., UPO 791, Campbellsville, KY  42718",KY,37.34422,-85.34876
Canisius College,54,78.0,1/28/21,NB012821C,2021,January,"$1,140.00",6 Months,,,New,4700-0-00-00000-00-0000,6 Months Subscription 1/28/2021 to 07/31/2021,"2001 Main Street, Buffalo, NY  14208",NY,42.92532,-78.85215
Capital University,55,14.0,10/15/20,NB101520A,2020,October,"$1,640.00 ",1 Year,"$1,640.00 ",,New,4700-0-00-00000-00-0000,1 Year Subscription 10/14/2020 to 10/31/2021,"E Main St & College Ave, Bexley, OH 43209",OH,39.957227,-82.940015
Catawba College,56,50.0,3/17/20,NB031720A,2020,March,"$1,000.00 ",1 Year,"$1,000.00 ",,New,4700-0-00-00000-00-0000,1 Year Subscription 3/17/2020 to 3/31/2021,"2300 W Innes St, Salisbury, NC 28144",NC,35.691116,-80.481124
Central Connecticut State University,57,250.0,5/23/17,33,2017,May,"$10,500.00 ",3 Years,,,New,4700-0-00-00000-00-0000,3 Years Subscription,"1615 Stanley St, New Britain, CT 06050",CT,41.68339,-72.767385
